Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Taxable,Status,SEO Title,SEO Description
"batteria-toyota-yaris-2012-2019","Batteria ibrida Toyota Yaris 2012-2019","<p>Batteria ibrida standard compatibile con Toyota Yaris Hybrid prodotta dal 2012 al 2019. Soluzione dedicata ai modelli full hybrid con batteria NiMH a moduli prismatici.</p><table><tr><td>Marca</td><td>Toyota</td></tr><tr><td>Modello</td><td>Yaris</td></tr><tr><td>Anno</td><td>2012 - 2019</td></tr><tr><td>Numero moduli</td><td>20</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>800 € + IVA</td></tr></table><p>Perfetta per utilitarie ibride Toyota con pacco batteria compatibile. Contattaci per verifica telaio e disponibilità.</p>","Relife Battery","Batteria Ibrida","toyota,yaris,ibrida,batteria-prismatica",TRUE,"Versione","Standard",800.00,TRUE,active,"Batteria ibrida Toyota Yaris 2012-2019 | Relife Battery","Batteria ibrida Toyota Yaris 2012-2019 con 20 moduli prismatici. Prezzo 800 € + IVA."
"batteria-toyota-prius-ii-2004-2009","Batteria ibrida Toyota Prius II 2004-2009","<p>Batteria ibrida standard per Toyota Prius seconda serie, la storica liftback ibrida compatta prodotta dal 2004 al 2009. Configurazione NiMH a moduli prismatici.</p><table><tr><td>Marca</td><td>Toyota</td></tr><tr><td>Modello</td><td>Prius II</td></tr><tr><td>Anno</td><td>2004 - 2009</td></tr><tr><td>Numero moduli</td><td>28</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>900 € + IVA</td></tr></table><p>Compatibile con Prius XW20. Richiedi verifica con dati veicolo prima dell'ordine.</p>","Relife Battery","Batteria Ibrida","toyota,prius-ii,ibrida,batteria-prismatica",TRUE,"Versione","Standard",900.00,TRUE,active,"Batteria ibrida Toyota Prius II 2004-2009 | Relife Battery","Batteria ibrida Toyota Prius II XW20 con 28 moduli prismatici. Prezzo 900 € + IVA."
"batteria-toyota-prius-iii-2009-2016","Batteria ibrida Toyota Prius III 2009-2016","<p>Batteria ibrida standard per Toyota Prius terza serie, fastback/liftback full hybrid prodotta dal 2009 al 2016. Soluzione dedicata al pacco NiMH con 28 moduli.</p><table><tr><td>Marca</td><td>Toyota</td></tr><tr><td>Modello</td><td>Prius III</td></tr><tr><td>Anno</td><td>2009 - 2016</td></tr><tr><td>Numero moduli</td><td>28</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>900 € + IVA</td></tr></table><p>Compatibile con Prius XW30. Contattaci per conferma compatibilità e tempi di lavorazione.</p>","Relife Battery","Batteria Ibrida","toyota,prius-iii,ibrida,batteria-prismatica",TRUE,"Versione","Standard",900.00,TRUE,active,"Batteria ibrida Toyota Prius III 2009-2016 | Relife Battery","Batteria ibrida Toyota Prius III XW30 con 28 moduli prismatici. Prezzo 900 € + IVA."
"batteria-toyota-prius-iv-2016-2022","Batteria ibrida Toyota Prius IV 2016-2022","<p>Batteria ibrida standard per Toyota Prius quarta serie, hatchback/liftback di segmento C prodotta dal 2016 al 2022. Configurazione con moduli prismatici e celle NiMH ad alta affidabilità.</p><table><tr><td>Marca</td><td>Toyota</td></tr><tr><td>Modello</td><td>Prius IV</td></tr><tr><td>Anno</td><td>2016 - 2022</td></tr><tr><td>Numero moduli</td><td>28</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>900 € + IVA</td></tr></table><p>Compatibile con Prius XW50. Ideale per sostituzione o rigenerazione del pacco batteria HV.</p>","Relife Battery","Batteria Ibrida","toyota,prius-iv,ibrida,batteria-prismatica",TRUE,"Versione","Standard",900.00,TRUE,active,"Batteria ibrida Toyota Prius IV 2016-2022 | Relife Battery","Batteria ibrida Toyota Prius IV XW50 con 28 moduli prismatici. Prezzo 900 € + IVA."
"batteria-toyota-auris-1-2010-2013","Batteria ibrida Toyota Auris 1 2010-2013","<p>Batteria ibrida standard per Toyota Auris prima serie hybrid, compatta 5 porte della gamma Toyota. Pacco HV con tecnologia NiMH a moduli prismatici.</p><table><tr><td>Marca</td><td>Toyota</td></tr><tr><td>Modello</td><td>Auris 1</td></tr><tr><td>Anno</td><td>2010 - 2013</td></tr><tr><td>Numero moduli</td><td>28</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>900 € + IVA</td></tr></table><p>Compatibile con Auris Hybrid di prima generazione. Verifica versione e telaio con il nostro supporto.</p>","Relife Battery","Batteria Ibrida","toyota,auris,ibrida,batteria-prismatica",TRUE,"Versione","Standard",900.00,TRUE,active,"Batteria ibrida Toyota Auris 1 2010-2013 | Relife Battery","Batteria ibrida Toyota Auris 1 con 28 moduli prismatici. Prezzo 900 € + IVA."
"batteria-toyota-auris-2-2014-2019","Batteria ibrida Toyota Auris 2 2014-2019","<p>Batteria ibrida standard per Toyota Auris seconda serie, disponibile per hatchback e Touring Sports hybrid dei model year indicati. Tecnologia NiMH con moduli prismatici.</p><table><tr><td>Marca</td><td>Toyota</td></tr><tr><td>Modello</td><td>Auris 2</td></tr><tr><td>Anno</td><td>2014 - 2019</td></tr><tr><td>Numero moduli</td><td>28</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>900 € + IVA</td></tr></table><p>Compatibile con Auris Hybrid seconda serie. Contattaci per conferma allestimento e disponibilità.</p>","Relife Battery","Batteria Ibrida","toyota,auris-2,ibrida,batteria-prismatica",TRUE,"Versione","Standard",900.00,TRUE,active,"Batteria ibrida Toyota Auris 2 2014-2019 | Relife Battery","Batteria ibrida Toyota Auris 2 con 28 moduli prismatici. Prezzo 900 € + IVA."
"batteria-toyota-chr-2016-2019","Batteria ibrida Toyota C-HR 2016-2019","<p>Batteria ibrida standard per Toyota C-HR, crossover compatto 5 porte. Pacco batteria NiMH con 28 moduli prismatici per i model year 2016-2019.</p><table><tr><td>Marca</td><td>Toyota</td></tr><tr><td>Modello</td><td>C-HR</td></tr><tr><td>Anno</td><td>2016 - 2019</td></tr><tr><td>Numero moduli</td><td>28</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>900 € + IVA</td></tr></table><p>Soluzione dedicata ai modelli C-HR Hybrid di prima generazione. Contattaci per una verifica rapida.</p>","Relife Battery","Batteria Ibrida","toyota,c-hr,ibrida,batteria-prismatica",TRUE,"Versione","Standard",900.00,TRUE,active,"Batteria ibrida Toyota C-HR 2016-2019 | Relife Battery","Batteria ibrida Toyota C-HR 2016-2019 con 28 moduli prismatici. Prezzo 900 € + IVA."
"batteria-toyota-corolla-2019-2023","Batteria ibrida Toyota Corolla 2019-2023","<p>Batteria ibrida standard per Toyota Corolla Hybrid, compatibile con le versioni della generazione 2019-2023. Pacco HV con moduli prismatici e celle da 6.5 Ah.</p><table><tr><td>Marca</td><td>Toyota</td></tr><tr><td>Modello</td><td>Corolla</td></tr><tr><td>Anno</td><td>2019 - 2023</td></tr><tr><td>Numero moduli</td><td>28</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>900 € + IVA</td></tr></table><p>Adatta a Corolla Hybrid hatchback, sedan e Touring Sports nei model year indicati.</p>","Relife Battery","Batteria Ibrida","toyota,corolla,ibrida,batteria-prismatica",TRUE,"Versione","Standard",900.00,TRUE,active,"Batteria ibrida Toyota Corolla 2019-2023 | Relife Battery","Batteria ibrida Toyota Corolla 2019-2023 con 28 moduli prismatici. Prezzo 900 € + IVA."
"batteria-toyota-crown-2009-2016","Batteria ibrida Toyota Crown 2009-2016","<p>Batteria ibrida standard per Toyota Crown Hybrid, berlina executive giapponese con sistema ibrido Toyota. Configurazione a 28 moduli prismatici.</p><table><tr><td>Marca</td><td>Toyota</td></tr><tr><td>Modello</td><td>Crown</td></tr><tr><td>Anno</td><td>2009 - 2016</td></tr><tr><td>Numero moduli</td><td>28</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>900 € + IVA</td></tr></table><p>Compatibile con le versioni ibride Toyota Crown dei model year indicati. Verifica codice batteria prima dell'ordine.</p>","Relife Battery","Batteria Ibrida","toyota,crown,ibrida,batteria-prismatica",TRUE,"Versione","Standard",900.00,TRUE,active,"Batteria ibrida Toyota Crown 2009-2016 | Relife Battery","Batteria ibrida Toyota Crown 2009-2016 con 28 moduli prismatici. Prezzo 900 € + IVA."
"batteria-lexus-ct-200h-2010-2012","Batteria ibrida Lexus CT 200h 2010-2012","<p>Batteria ibrida standard per Lexus CT 200h, hatchback premium compatta basata sulla meccanica ibrida Toyota. Pacco NiMH a 28 moduli prismatici.</p><table><tr><td>Marca</td><td>Lexus</td></tr><tr><td>Modello</td><td>CT 200h</td></tr><tr><td>Anno</td><td>2010 - 2012</td></tr><tr><td>Numero moduli</td><td>28</td></tr><tr><td>Tipologia celle</td><td>Prismatiche</td></tr><tr><td>Celle per modulo</td><td>6</td></tr><tr><td>Capacità celle</td><td>6.5 Ah</td></tr><tr><td>Tensione nominale</td><td>7.2 V</td></tr><tr><td>Modalità vendita</td><td>Standard</td></tr><tr><td>Prezzo</td><td>900 € + IVA</td></tr></table><p>Compatibile con Lexus CT 200h prima serie. Contattaci per la verifica della batteria ad alta tensione.</p>","Relife Battery","Batteria Ibrida","lexus,ct-200h,ibrida,batteria-prismatica",TRUE,"Versione","Standard",900.00,TRUE,active,"Batteria ibrida Lexus CT 200h 2010-2012 | Relife Battery","Batteria ibrida Lexus CT 200h 2010-2012 con 28 moduli prismatici. Prezzo 900 € + IVA."
