Handle,Title,Option1 Name,Option1 Value,Image Src,Image Position
"batteria-toyota-yaris-2012-2019","Batteria ibrida Toyota Yaris 2012-2019","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Toyota_Yaris_Hybrid.jpg",1
"batteria-toyota-prius-ii-2004-2009","Batteria ibrida Toyota Prius II 2004-2009","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Toyota_Prius_XW20%2C_Bangladesh_%2825348076051%29.jpg",1
"batteria-toyota-prius-iii-2009-2016","Batteria ibrida Toyota Prius III 2009-2016","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Toyota_Prius_%28XW30%29_Hybrid_Front.jpg",1
"batteria-toyota-prius-iv-2016-2022","Batteria ibrida Toyota Prius IV 2016-2022","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/15_Toyota_Prius_%28XW50%29_1.jpg",1
"batteria-toyota-auris-1-2010-2013","Batteria ibrida Toyota Auris 1 2010-2013","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Toyota_Auris_Hybrid_%28MSP15%29.JPG",1
"batteria-toyota-auris-2-2014-2019","Batteria ibrida Toyota Auris 2 2014-2019","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Toyota_Auris_Hybrid_%28MSP15%29.JPG",1
"batteria-toyota-chr-2016-2019","Batteria ibrida Toyota C-HR 2016-2019","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Toyota_C-HR_Hybrid_001.jpg",1
"batteria-toyota-corolla-2019-2023","Batteria ibrida Toyota Corolla 2019-2023","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/2019_Toyota_Corolla_Hybrid_Hatchback.jpg",1
"batteria-toyota-crown-2009-2016","Batteria ibrida Toyota Crown 2009-2016","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/2008_Toyota_Crown-Hybrid_01.jpg",1
"batteria-lexus-ct-200h-2010-2012","Batteria ibrida Lexus CT 200h 2010-2012","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Lexus_CT200h.JPG",1
"batteria-lexus-ux-250h-2019-oggi","Batteria ibrida Lexus UX 250h 2019-oggi","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Lexus_UX_250h.jpg",1
"batteria-toyota-highlander-ii-2005-2013","Batteria ibrida Toyota Highlander II 2005-2013","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Toyota_Highlander_Hybrid.jpg",1
"batteria-toyota-highlander-ii-2014-2019","Batteria ibrida Toyota Highlander II 2014-2019","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Toyota_Highlander_Hybrid.jpg",1
"batteria-lexus-is-300h-2013-2019","Batteria ibrida Lexus IS 300h 2013-2019","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Lexus_IS_300h_%282019%29_%2853332227303%29.jpg",1
"batteria-lexus-gs-300h-2013-2019","Batteria ibrida Lexus GS 300h 2013-2019","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Lexus_GS_300h_%282018%29_%2852185988947%29.jpg",1
"batteria-toyota-rav4-2012-2018","Batteria ibrida Toyota RAV4 2012-2018","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Toyota_RAV4_Hybrid.jpg",1
"batteria-toyota-camry-i-2006-2011","Batteria ibrida Toyota Camry I 2006-2011","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Toyota_camry_hybrid.jpg",1
"batteria-toyota-camry-ii-2012-2017","Batteria ibrida Toyota Camry II 2012-2017","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Toyota_camry_hybrid.jpg",1
"batteria-lexus-nx-300h-2014-2021","Batteria ibrida Lexus NX 300h 2014-2021","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Lexus_NX_300h_%282020%29_%2853945291971%29.jpg",1
"batteria-lexus-gs-450h-2005-2011","Batteria ibrida Lexus GS 450h 2005-2011","Versione","Standard","https://commons.wikimedia.org/wiki/Special:Redirect/file/Lexus-GS450H.jpg",1
